run,architecture,epochs,train_time,train_loss,val_loss,test_loss,rmse,mae,nrmse,r,skill
potential,mlp,65,23,1.14,1.14,1.14,1.92,1.14,0.00943,0.99,0.97
x_conductivity,mlp,38,16,0.16,0.16,0.16,0.26,0.16,0.01448,0.99,0.98
y_conductivity,mlp,96,41,0.15,0.15,0.15,0.26,0.15,0.01334,0.99,0.98
xy_conductivity,mlp,,,,,,0.66,0.34,0.01068,0.98,0.96
current,mlp,69,25,0.03,0.03,0.03,0.06,0.03,0.01101,0.91,0.83
current, lstm, 100, 0.3, 0.0842,0.0859,0.0292,0.001,0.001,0.036,0.995,,
potential,esn,,,,,,5.1,,0.04,0.91,0.83
x_conductivity,esn,,,,,,0.7,,0.06,0.91,0.77
y_conductivity,esn,,,,,,0.6,,0.06,0.92,0.79
xy_conductivity,esn,,,,,,1.5,,0.04,0.84,0.53
current,esn,,,,,,0.1,,0.03,0.78,-0.18
