reservoir_size,density,input_scaling,spectral_radius,beta,training_time,rmse,nrmse
200,0.1,0.1,0.9,0.01,0.76700475,6.433819939957116,0.5192625327647608
200,0.1,0.1,0.9,0.001,0.7711994666666667,6.43211137007162,0.5191246370302783
200,0.1,0.1,0.9,0.0001,0.7797871,6.403288570879016,0.5167983985203735
200,0.1,0.1,0.95,0.01,0.7738499999999999,6.4233370022456215,0.5184164729064362
200,0.1,0.1,0.95,0.001,0.7578471166666667,6.421719868094161,0.5182859567926587
200,0.1,0.1,0.95,0.0001,0.7675825833333333,6.3946260208282,0.5160992590166935
200,0.1,0.1,1.0,0.01,0.7878938833333333,6.413289974990065,0.517605594630674
200,0.1,0.1,1.0,0.001,0.7821049333333333,6.410883701079842,0.5174113884053197
200,0.1,0.1,1.0,0.0001,0.7634503166666666,6.384716009987592,0.5152994390999343
200,0.1,0.2,0.9,0.01,0.7652152,6.468465620461573,0.5220587260023699
200,0.1,0.2,0.9,0.001,0.7735370166666667,6.462117926876389,0.5215464145794488
200,0.1,0.2,0.9,0.0001,0.7788848166666666,6.451712630144876,0.5207066209909745
200,0.1,0.2,0.95,0.01,0.7746533833333333,6.47032570716875,0.522208850398723
200,0.1,0.2,0.95,0.001,0.7667703499999999,6.464545350061021,0.5217423277263363
200,0.1,0.2,0.95,0.0001,0.78731635,6.456139578778214,0.5210639123950268
200,0.1,0.2,1.0,0.01,0.7720222833333333,6.472059374617737,0.5223487717143542
200,0.1,0.2,1.0,0.001,0.7835498833333333,6.4669718810400765,0.5219381688648473
200,0.1,0.2,1.0,0.0001,0.7742773,6.460418928141811,0.5214092913160822
200,0.1,0.3,0.9,0.01,0.7784536666666667,6.4862313809595245,0.5234925699518044
200,0.1,0.3,0.9,0.001,0.7686438333333334,6.48446896398028,0.523350328311073
200,0.1,0.3,0.9,0.0001,0.7786349666666667,6.48418842589562,0.5233276865651526
200,0.1,0.3,0.95,0.01,0.7680247,6.487768967470129,0.5236166659124145
200,0.1,0.3,0.95,0.001,0.7679206500000001,6.486089334662547,0.5234811056396809
200,0.1,0.3,0.95,0.0001,0.7758103166666667,6.485844203244164,0.5234613215048499
200,0.1,0.3,1.0,0.01,0.7728388666666667,6.489543989345555,0.5237599248726198
200,0.1,0.3,1.0,0.001,0.7856390999999999,6.487942308440327,0.5236306559637459
200,0.1,0.3,1.0,0.0001,0.7849006833333333,6.487716866469679,0.5236124609303501
200,0.15,0.1,0.9,0.01,0.7823403666666666,6.44785754887601,0.5203954840175486
200,0.15,0.1,0.9,0.001,0.77041405,6.437281278576802,0.5195418914467239
200,0.15,0.1,0.9,0.0001,0.7598648333333333,6.424123687884546,0.5184799649502251
200,0.15,0.1,0.95,0.01,0.7762108,6.45286385009368,0.5207995339714377
200,0.15,0.1,0.95,0.001,0.7819419,6.4445447745736955,0.5201281157059156
200,0.15,0.1,0.95,0.0001,0.7731123,6.4317306234778515,0.5190939076280776
200,0.15,0.1,1.0,0.01,0.7788951,6.457600399726331,0.5211818127392257
200,0.15,0.1,1.0,0.001,0.7857896333333334,6.451241186016428,0.5206685715468683
200,0.15,0.1,1.0,0.0001,0.78250205,6.4385390347751,0.519643402784502
